,,,,,,,,,,,,,,
,,,,,,https://nyxcable.com/product/ysly-jz/,,,,,,ปรับตารางและใส่ราคาตั้ง,,
,,,,,,,,,,,,,,
Part NO.,,,,,Core x Conductor,Model,NO. of strands x,Outer ,Cu Weight,Weight,Conductor Resistance,ราคา,,
,,,,, Size (mm2),,Max strand Dia.(mm),Dia. (mm),(kg/km),(kg/km),@ 20oC (Ohm/km),บาทต่อเมตร,,Link เดิม
424020 505011,สายคอนโทรล YSLY-JZ,ysly-jz,50g0.5,,50G0.5,สายคอนโทรล YSLY-JZ 50G0.5,16x0.20,17.6,240,510,39.0,409.97,,https://nyxcable.com/สายคอนโทรล/ysly-jz-50g0.5/
424020 505211,สายคอนโทรล YSLY-JZ,ysly-jz,52g0.5,,52G0.5,สายคอนโทรล YSLY-JZ 52G0.5,16x0.20,17.7,252,530,39.0,426.37,,https://nyxcable.com/สายคอนโทรล/ysly-jz-52g0.5/
424020 506111,สายคอนโทรล YSLY-JZ,ysly-jz,61g0.5,,61G0.5,สายคอนโทรล YSLY-JZ 61G0.5,16x0.20,18.9,293,650,39.0,468.07,,https://nyxcable.com/สายคอนโทรล/ysly-jz-61g0.5/
424020 506511,สายคอนโทรล YSLY-JZ,ysly-jz,65g0.5,,65G0.5,สายคอนโทรล YSLY-JZ 65G0.5,16x0.20,19.8,312,685,39.0,-,,https://nyxcable.com/สายคอนโทรล/ysly-jz-65g0.5/
424020 508011,สายคอนโทรล YSLY-JZ,ysly-jz,80g0.5,,80G0.5,สายคอนโทรล YSLY-JZ 80G0.5,16x0.20,21.5,384,780,39.0,-,,https://nyxcable.com/สายคอนโทรล/ysly-jz-80g0.5/
424020 509911,สายคอนโทรล YSLY-JZ,ysly-jz,100g0.5,,100G0.5,สายคอนโทรล YSLY-JZ 100G0.5,16x0.20,23.9,480,970,39.0,-,,https://nyxcable.com/สายคอนโทรล/ysly-jz-100g0.5/
,,,,,,,,,,,,,,
424010 750211,สายคอนโทรล YSLY-OZ,ysly-oz,2x0.75,,2X0.75,สายคอนโทรล YSLY-OZ 2X0.75,24x0.20,5.5,14.4,43,26.0,19.17,,https://nyxcable.com/สายคอนโทรล/ysly-oz-2x0.75/
424020 750311,สายคอนโทรล YSLY-JZ,ysly-jz,3g0.75,,3G0.75,สายคอนโทรล YSLY-JZ 3G0.75,24x0.20,5.7,22.0,61,26.0,26.02,,https://nyxcable.com/สายคอนโทรล/ysly-jz-3g0.75/
424020 750411,สายคอนโทรล YSLY-JZ,ysly-jz,4g0.75,,4G0.75,สายคอนโทรล YSLY-JZ 4G0.75,24x0.20,6.2,28.8,75,26.0,34.27,,https://nyxcable.com/สายคอนโทรล/ysly-jz-4g0.75/
424020 750511,สายคอนโทรล YSLY-JZ,ysly-jz,5g0.75,,5G0.75,สายคอนโทรล YSLY-JZ 5G0.75,24x0.20,6.9,36.0,100,26.0,42.50,,https://nyxcable.com/สายคอนโทรล/ysly-jz-5g0.75/
424020 750611,สายคอนโทรล YSLY-JZ,ysly-jz,6g0.75,,6G0.75,สายคอนโทรล YSLY-JZ 6G0.75,24x0.20,7.6,43.2,115,26.0,54.10,,https://nyxcable.com/สายคอนโทรล/ysly-jz-6g0.75/
424020 750711,สายคอนโทรล YSLY-JZ,ysly-jz,7g0.75,,7G0.75,สายคอนโทรล YSLY-JZ 7G0.75,24x0.20,7.6,50.0,125,26.0,60.19,,https://nyxcable.com/สายคอนโทรล/ysly-jz-7g0.75/
424020 750811,สายคอนโทรล YSLY-JZ,ysly-jz,8g0.75,,8G0.75,สายคอนโทรล YSLY-JZ 8G0.75,24x0.20,8.9,58.0,140,26.0,70.43,,https://nyxcable.com/สายคอนโทรล/ysly-jz-8g0.75/
424020 750911,สายคอนโทรล YSLY-JZ,ysly-jz,9g0.75,,9G0.75,สายคอนโทรล YSLY-JZ 9G0.75,24x0.20,9.6,65.0,150,26.0,80.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-9g0.75/
424020 751011,สายคอนโทรล YSLY-JZ,ysly-jz,10g0.75,,10G0.75,สายคอนโทรล YSLY-JZ 10G0.75,24x0.20,9.9,72.0,170,26.0,89.50,,https://nyxcable.com/สายคอนโทรล/ysly-jz-10g0.75/
424020 751211,สายคอนโทรล YSLY-JZ,ysly-jz,12g0.75,,12G0.75,สายคอนโทรล YSLY-JZ 12G0.75,24x0.20,10.2,86.0,210,26.0,103.36,,https://nyxcable.com/สายคอนโทรล/ysly-jz-12g0.75/
424020 751411,สายคอนโทรล YSLY-JZ,ysly-jz,14g0.75,,14G0.75,สายคอนโทรล YSLY-JZ 14G0.75,24x0.20,10.9,101,225,26.0,119.77,,https://nyxcable.com/สายคอนโทรล/ysly-jz-14g0.75/
424020 751611,สายคอนโทรล YSLY-JZ,ysly-jz,16g0.75,,16G0.75,สายคอนโทรล YSLY-JZ 16G0.75,24x0.20,11.2,115,240,26.0,138.82,,https://nyxcable.com/สายคอนโทรล/ysly-jz-16g0.75/
424020 751811,สายคอนโทรล YSLY-JZ,ysly-jz,18g0.75,,18G0.75,สายคอนโทรล YSLY-JZ 18G0.75,24x0.20,12.1,130,280,26.0,154.11,,https://nyxcable.com/สายคอนโทรล/ysly-jz-18g0.75/
424020 752011,สายคอนโทรล YSLY-JZ,ysly-jz,20g0.75,,20G0.75,สายคอนโทรล YSLY-JZ 20G0.75,24x0.20,13.0,144,310,26.0,179.53,,https://nyxcable.com/สายคอนโทรล/ysly-jz-20g0.75/
424020 752111,สายคอนโทรล YSLY-JZ,ysly-jz,21g0.75,,21G0.75,สายคอนโทรล YSLY-JZ 21G0.75,24x0.20,13.4,151,325,26.0,188.51,,https://nyxcable.com/สายคอนโทรล/ysly-jz-21g0.75/
424020 752511,สายคอนโทรล YSLY-JZ,ysly-jz,25g0.75,,25G0.75,สายคอนโทรล YSLY-JZ 25G0.75,24x0.20,14.2,180,370,26.0,207.20,,https://nyxcable.com/สายคอนโทรล/ysly-jz-25g0.75/
424020 753011,สายคอนโทรล YSLY-JZ,ysly-jz,30g0.75,,30G0.75,สายคอนโทรล YSLY-JZ 30G0.75,24x0.20,15.1,216,440,26.0,258.74,,https://nyxcable.com/สายคอนโทรล/ysly-jz-30g0.75/
424020 753111,สายคอนโทรล YSLY-JZ,ysly-jz,31g0.75,,31G0.75,สายคอนโทรล YSLY-JZ 31G0.75,24x0.20,16.1,223,455,26.0,262.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-31g0.75/
424020 753211,สายคอนโทรล YSLY-JZ,ysly-jz,32g0.75,,32G0.75,สายคอนโทรล YSLY-JZ 32G0.75,24x0.20,16.2,230,460,26.0,264.17,,https://nyxcable.com/สายคอนโทรล/ysly-jz-32g0.75/
424020 753411,สายคอนโทรล YSLY-JZ,ysly-jz,34g0.75,,34G0.75,สายคอนโทรล YSLY-JZ 34G0.75,24x0.20,16.3,245,500,26.0,309.21,,https://nyxcable.com/สายคอนโทรล/ysly-jz-34g0.75/
424020 753711,สายคอนโทรล YSLY-JZ,ysly-jz,37g0.75,,37G0.75,สายคอนโทรล YSLY-JZ 37G0.75,24x0.20,16.5,260,535,26.0,347.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-37g0.75/
424020 754011,สายคอนโทรล YSLY-JZ,ysly-jz,40g0.75,,40G0.75,สายคอนโทรล YSLY-JZ 40G0.75,24x0.20,17.5,288,570,26.0,383.76,,https://nyxcable.com/สายคอนโทรล/ysly-jz-40g0.75/
424020 754111,สายคอนโทรล YSLY-JZ,ysly-jz,41g0.75,,41G0.75,สายคอนโทรล YSLY-JZ 41G0.75,24x0.20,17.7,296,580,26.0,393.36,,https://nyxcable.com/สายคอนโทรล/ysly-jz-41g0.75/
424020 754211,สายคอนโทรล YSLY-JZ,ysly-jz,42g0.75,,42G0.75,สายคอนโทรล YSLY-JZ 42G0.75,24x0.20,17.8,302,590,26.0,402.95,,https://nyxcable.com/สายคอนโทรล/ysly-jz-42g0.75/
424020 755011,สายคอนโทรล YSLY-JZ,ysly-jz,50g0.75,,50G0.75,สายคอนโทรล YSLY-JZ 50G0.75,24x0.20,19.5,360,640,26.0,541.88,,https://nyxcable.com/สายคอนโทรล/ysly-jz-50g0.75/
424020 756111,สายคอนโทรล YSLY-JZ,ysly-jz,61g0.75,,61G0.75,สายคอนโทรล YSLY-JZ 61G0.75,24x0.20,20.8,439,775,26.0,665.89,,https://nyxcable.com/สายคอนโทรล/ysly-jz-61g0.75/
424020 756511,สายคอนโทรล YSLY-JZ,ysly-jz,65g0.75,,65G0.75,สายคอนโทรล YSLY-JZ 65G0.75,24x0.20,21.9,468,895,26.0,-,,https://nyxcable.com/สายคอนโทรล/ysly-jz-65g0.75/
424020 758011,สายคอนโทรล YSLY-JZ,ysly-jz,80g0.75,,80G0.75,สายคอนโทรล YSLY-JZ 80G0.75,24x0.20,24.0,576,1155,26.0,-,,https://nyxcable.com/สายคอนโทรล/ysly-jz-80g0.75/
424020 759911,สายคอนโทรล YSLY-JZ,ysly-jz,100g0.75,,100G0.75,สายคอนโทรล YSLY-JZ 100G0.75,24x0.20,26.4,720,1310,26.0,-,,https://nyxcable.com/สายคอนโทรล/ysly-jz-100g0.75/
,,,,,,,,,,,,,,
424011 000211,สายคอนโทรล YSLY-OZ,ysly-oz,2x1,,2X1,สายคอนโทรล YSLY-OZ 2X1,32x0.20,5.8,19.2,57,19.5,23.52,,https://nyxcable.com/สายคอนโทรล/ysly-oz-2x1/
424021 000311,สายคอนโทรล YSLY-JZ,ysly-jz,3g1,,3G1,สายคอนโทรล YSLY-JZ 3G1,32x0.20,6.3,28.8,80,19.5,32.06,,https://nyxcable.com/สายคอนโทรล/ysly-jz-3g1/
424021 000411,สายคอนโทรล YSLY-JZ,ysly-jz,4g1,,4G1,สายคอนโทรล YSLY-JZ 4G1,32x0.20,6.7,38.4,105,19.5,43.32,,https://nyxcable.com/สายคอนโทรล/ysly-jz-4g1/
424021 000511,สายคอนโทรล YSLY-JZ,ysly-jz,5g1,,5G1,สายคอนโทรล YSLY-JZ 5G1,32x0.20,7.3,48.0,125,19.5,53.51,,https://nyxcable.com/สายคอนโทรล/ysly-jz-5g1/
424021 000611,สายคอนโทรล YSLY-JZ,ysly-jz,6g1,,6G1,สายคอนโทรล YSLY-JZ 6G1,32x0.20,8.1,57.6,135,19.5,68.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-6g1/
424021 000711,สายคอนโทรล YSLY-JZ,ysly-jz,7g1,,7G1,สายคอนโทรล YSLY-JZ 7G1,32x0.20,8.3,67.0,150,19.5,77.34,,https://nyxcable.com/สายคอนโทรล/ysly-jz-7g1/
424021 000811,สายคอนโทรล YSLY-JZ,ysly-jz,8g1,,8G1,สายคอนโทรล YSLY-JZ 8G1,32x0.20,9.5,77.0,175,19.5,88.97,,https://nyxcable.com/สายคอนโทรล/ysly-jz-8g1/
424021 000911,สายคอนโทรล YSLY-JZ,ysly-jz,9g1,,9G1,สายคอนโทรล YSLY-JZ 9G1,32x0.20,10.3,86.4,200,19.5,100.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-9g1/
424021 001011,สายคอนโทรล YSLY-JZ,ysly-jz,10g1,,10G1,สายคอนโทรล YSLY-JZ 10G1,32x0.20,10.5,96.0,220,19.5,110.81,,https://nyxcable.com/สายคอนโทรล/ysly-jz-10g1/
424021 001211,สายคอนโทรล YSLY-JZ,ysly-jz,12g1,,12G1,สายคอนโทรล YSLY-JZ 12G1,32x0.20,10.8,115,260,19.5,132.76,,https://nyxcable.com/สายคอนโทรล/ysly-jz-12g1/
424021 001411,สายคอนโทรล YSLY-JZ,ysly-jz,14g1,,14G1,สายคอนโทรล YSLY-JZ 14G1,32x0.20,11.6,134,290,19.5,156.33,,https://nyxcable.com/สายคอนโทรล/ysly-jz-14g1/
424021 001611,สายคอนโทรล YSLY-JZ,ysly-jz,16g1,,16G1,สายคอนโทรล YSLY-JZ 16G1,32x0.20,12.1,154,320,19.5,182.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-16g1/
424021 001811,สายคอนโทรล YSLY-JZ,ysly-jz,18g1,,18G1,สายคอนโทรล YSLY-JZ 18G1,32x0.20,12.9,173,350,19.5,199.23,,https://nyxcable.com/สายคอนโทรล/ysly-jz-18g1/
424021 001911,สายคอนโทรล YSLY-JZ,ysly-jz,19g1,,19G1,สายคอนโทรล YSLY-JZ 19G1,32x0.20,13.0,182,360,19.5,209.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-19g1/
424021 002011,สายคอนโทรล YSLY-JZ,ysly-jz,20g1,,20G1,สายคอนโทรล YSLY-JZ 20G1,32x0.20,13.7,192,370,19.5,218.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-20g1/
424021 002111,สายคอนโทรล YSLY-JZ,ysly-jz,21g1,,21G1,สายคอนโทรล YSLY-JZ 21G1,32x0.20,14.1,205,380,19.5,241.01,,https://nyxcable.com/สายคอนโทรล/ysly-jz-21g1/
424021 002411,สายคอนโทรล YSLY-JZ,ysly-jz,24g1,,24G1,สายคอนโทรล YSLY-JZ 24G1,32x0.20,14.6,236,445,19.5,271.86,,https://nyxcable.com/สายคอนโทรล/ysly-jz-24g1/
424021 002511,สายคอนโทรล YSLY-JZ,ysly-jz,25g1,,25G1,สายคอนโทรล YSLY-JZ 25G1,32x0.20,14.8,240,470,19.5,283.19,,https://nyxcable.com/สายคอนโทรล/ysly-jz-25g1/
424021 002611,สายคอนโทรล YSLY-JZ,ysly-jz,26g1,,26G1,สายคอนโทรล YSLY-JZ 26G1,32x0.20,15.2,252,495,19.5,296.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-26g1/
424021 002711,สายคอนโทรล YSLY-JZ,ysly-jz,27g1,,27G1,สายคอนโทรล YSLY-JZ 27G1,32x0.20,15.9,259,530,19.5,307.57,,https://nyxcable.com/สายคอนโทรล/ysly-jz-27g1/
424021 003411,สายคอนโทรล YSLY-JZ,ysly-jz,34g1,,34G1,สายคอนโทรล YSLY-JZ 34G1,32x0.20,17.2,326,600,19.5,400.84,,https://nyxcable.com/สายคอนโทรล/ysly-jz-34g1/
424021 003611,สายคอนโทรล YSLY-JZ,ysly-jz,36g1,,36G1,สายคอนโทรล YSLY-JZ 36G1,32x0.20,17.5,346,620,19.5,429.00,,https://nyxcable.com/สายคอนโทรล/ysly-jz-36g1/
424021 003711,สายคอนโทรล YSLY-JZ,ysly-jz,37g1,,37G1,สายคอนโทรล YSLY-JZ 37G1,32x0.20,17.6,355,630,19.5,440.92,,https://nyxcable.com/สายคอนโทรล/ysly-jz-37g1/
